1146,867,439,896,1353,1231,5011,1341,638,1510,4928,8076,4331,2598,12196,12356,8796,1066,6655,635,4991,856,5856,7495,3919,1299,424,1826,7842,6864,1424,6909,1458,9940,5662,8481,9572,4175,3289,173,16212,19009,2214,2696,863
342,186,264,329,244,244,165,291,246,1242,1068,440,480,894,699,702,694,1549,1051,450,979,793,592,1516,1210,441,1124,1506,1021,1162,1012,927,1382,807,607,258,576,911,959,1171,484,1352,1069,755,1286
876,365,201,212,1484,874,359,434,348,6477,3842,2101,3504,3569,3740,3520,5580,8523,9423,1460,7406,6103,3974,4371,4807,1376,10210,2544,4341,4923,6436,2500,6728,2481,5592,5574,4142,2735,5332,1793,5634,7141,1478,4235,1476
162809,188547,226588,168690,112992,188332,185007,254341,246125,386658,89212,78867,51709,23136,59538,126489,103790,13989,72375,85249,8487,52712,31529,97459,69710,58108,25245,168837,72345,139603,59684,211496,82863,53346,102662,32901,94387,181798,143659,6156,110892,89468,21855,18243,75801
746,436,199,430,481,612,482,303,317,2768,3888,5377,11364,2876,6196,7140,5024,4974,6252,496,4850,4312,4207,10103,6095,5273,8133,8420,5633,6011,6130,3680,2112,4793,3329,4944,3234,6225,9307,3368,4399,3699,8011,2655,9389
723,363,537,457,600,704,477,494,593,3121,3431,5321,2892,3147,5617,6813,5581,1116,3062,949,4111,3937,6956,11285,9634,1245,1529,3751,12234,4824,6981,2508,5144,21025,4151,6393,10336,4204,2632,13545,5922,12506,1800,4311,2224
169,65,48,81,162,162,51,47,78,832,586,200,1678,2381,1512,166,565,320,638,38,1563,351,395,629,2364,829,161,1919,537,1093,114,146,10906,172,851,74,407,74,421,1460,110,170,613,458,560
1287,1594,1564,1920,1126,1509,1481,1599,1506,2980,3655,3733,2598,2452,4387,2252,3400,3340,2977,2004,2357,3492,3284,5184,2997,2466,3193,4363,2645,3130,3706,3849,1998,3924,2263,2278,4454,3216,3542,4174,3088,2720,3784,2887,4190
1529,1222,1570,2737,1123,1317,1904,1923,1889,996,5821,2815,4456,3187,5299,4415,4759,5087,4653,2356,3404,4035,5450,6749,2610,1672,7785,3141,4812,4091,3408,4760,1656,4962,2892,3765,5155,4661,3105,5528,4162,5890,5460,5221,2016
25567,28985,28251,36222,10574,25195,23659,55224,31668,19,17,7,4426,2,2642,29,5,701,125,2391,2,18,14,0,23,0,2382,30,3752,2,0,27,5,0,4472,10,1195,21,1340,50,18,3517,679,7,59
544,435,410,501,180,781,397,522,368,2188,393,1462,869,4503,1755,1315,3569,3401,3494,1868,1497,865,1030,5858,1921,999,1777,3109,2635,3346,225,1460,320,1687,1841,1997,299,2449,1452,2637,1955,655,1820,661,1849
242,140,150,265,166,221,146,229,226,140,644,388,427,1041,916,264,603,264,495,167,615,348,578,1298,201,130,1120,554,341,562,174,252,632,1511,457,450,258,472,227,753,912,863,702,786,161
4306,6263,3599,4701,3926,5059,6143,5141,4401,8932,11325,12456,10841,19819,10265,5476,15746,8840,12070,1309,15136,18380,13489,19414,18595,8429,12626,14460,13442,11384,9126,6254,12098,14271,11149,7403,8678,9336,11060,7326,19786,9314,5551,17265,5496
70,72,20,49,64,131,283,74,30,34,7005,376,212,1688,77,5163,639,51,58,1405,198,23,2492,439,131,45,28913,64,21,2332,31,145,5,2126,67,2283,502,19,31,13,413,330,2122,760,64
372,375,337,431,276,463,246,339,287,1434,1586,2337,1177,1277,2352,1587,4653,1754,2466,368,1472,2193,1885,1192,2174,883,3542,3438,1734,2356,2056,1518,1119,1866,1543,1638,1930,1695,2364,2405,1880,1891,1731,1434,2378
642,649,499,647,455,533,608,566,832,2891,2158,4669,2542,1807,4471,2266,3125,1640,5423,648,2170,2982,2101,1348,4832,4035,5417,4424,2111,2065,1769,3093,1057,1375,2282,2474,2802,3048,3703,1710,6682,3595,4924,2204,3817
1326,1440,1219,1620,1220,1353,1379,1745,1110,4808,2693,3737,2765,3305,3807,4914,3906,3302,2803,2130,4988,3171,3519,4566,2617,2240,5003,2597,3306,8480,4312,3080,4782,4818,4047,3299,2796,2819,2791,3560,3636,3679,4427,2873,3341
1081,1187,1214,1332,855,1063,999,1278,1026,6522,1752,4052,2460,3000,2726,3914,2783,2001,3106,1275,2516,2385,2540,3384,2880,1424,2188,3961,3328,2036,4173,2674,3531,1699,2898,1840,3406,3080,2338,2611,2233,4794,4048,2528,4782
5,5,3,6,4,3,3,3,0,114,3007,104,167,85,281,127,263,221,164,99,120,103,1487,732,186,100,149,129,44,1048,193,1032,9,173,39,643,606,315,162,285,670,693,49,44,152
2923,2570,3920,5883,3393,2802,4458,3735,6846,9721,11284,8726,8026,6997,7364,16948,8284,9154,7964,9591,6860,5479,10230,5981,10831,4542,10876,8065,8824,8903,8766,10709,3346,4802,5635,7466,15654,7177,7327,10251,10856,28826,9008,11906,10541
922,584,704,770,561,750,669,764,609,1871,4728,2229,1649,3276,2648,1676,2740,1382,2366,940,1787,2309,2883,4438,2596,1929,2924,2267,1676,2932,2122,2687,4547,2814,2082,2806,2730,1360,1996,1862,3688,2082,1338,2352,1458
636,639,235,351,621,454,361,298,388,3011,1584,4570,3151,5477,2130,3121,3183,8681,7562,3377,5252,4153,3175,4751,5252,2020,1169,9669,2809,2572,3737,1971,5019,4759,4640,1642,2359,2998,4193,8357,2118,4149,3244,16796,12779
455,305,303,568,198,359,484,410,269,479,1585,1025,1425,1131,1796,820,1575,884,1616,538,1036,825,1093,2000,1946,1056,2091,1875,1827,2799,520,1193,1206,1024,1262,1920,1148,1521,1143,1994,1234,1839,719,622,1102
164,73,1148,2256,64,142,352,355,212,19,42,94,305,136,146,4,339,141,160,16,82,133,61,155,204,24,396,181,617,94,82,142,1,250,127,685,243,171,123,81,196,97,102,39,22
867,360,666,873,670,651,549,716,477,2840,2840,5537,1271,1697,3846,2774,4564,2009,5745,1650,1852,2116,1828,7683,6370,1202,3536,7457,3970,4302,2506,1691,4811,1525,3523,2954,3446,2880,4447,4348,4026,2576,1647,1933,3687
288,199,159,223,300,380,168,145,184,463,1938,1303,1066,2462,1386,638,1093,733,1450,327,2478,1316,1334,1929,755,197,1635,925,1489,1223,1178,634,476,1483,914,1102,1251,1403,515,1182,1946,1599,829,1008,223
233,272,240,243,200,257,261,220,234,877,743,788,465,370,868,803,436,335,775,240,667,670,574,1195,589,402,574,656,590,951,645,584,738,677,766,546,555,336,581,594,852,941,296,570,858
493,274,347,374,352,423,250,379,342,1702,2218,3721,2801,4029,2942,1266,3107,2525,2758,839,2390,3522,3261,5182,2723,1188,7451,3409,1725,6625,2226,2974,1579,4960,2149,3378,3232,4842,1056,3182,3600,6067,4861,2862,1613
3270,2354,2404,2947,2201,3818,2607,3312,2260,1644,2035,1163,1445,1739,2284,3260,1919,1499,2026,936,1225,839,2182,2582,6144,2329,943,1351,1543,1723,979,905,3344,1106,2268,811,1760,2856,937,955,1293,2537,1377,1667,1085
143,157,170,239,108,172,145,187,160,79,570,655,1321,577,976,457,798,1229,391,206,1032,1167,700,719,214,259,2064,573,644,387,729,957,1223,959,373,623,951,355,1045,1592,491,484,1368,818,203
709,449,389,490,495,669,796,456,736,1571,1801,1598,1421,2139,1556,851,1425,1490,1490,487,1390,1271,1866,3021,1678,969,1844,1387,1386,5156,1821,2532,2010,2533,1446,1544,1787,1406,831,3775,1820,4889,2858,3208,965
2988,3667,775,1163,1638,1914,5806,3395,3602,1004,741,870,1611,5664,2682,540,2106,1244,1027,344,1744,787,605,2105,763,608,5245,637,2623,1454,536,775,1626,3136,1489,2022,538,887,691,377,1480,2132,680,1079,160
230,182,85,94,442,274,79,135,117,5115,5526,779,2973,1535,1469,8552,760,1153,1185,598,6298,2306,2460,1755,683,4981,449,311,1147,780,946,2611,7312,1458,1096,789,1957,300,14593,550,15156,1724,195,1197,157
